Entity,Code,Day,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k
Afghanistan,AFG,2020-01-01,-0.012119115,0.033068403,-0.042428064
Afghanistan,AFG,2020-01-06,-0.012228163,0.033068403,-0.041958828
Afghanistan,AFG,2020-01-13,-0.012834493,0.032401395,-0.040533342
Afghanistan,AFG,2020-01-20,-0.006589379,0.059934958,-0.066298535
Afghanistan,AFG,2020-01-27,0.000570247,0.050366632,-0.070440328
Afghanistan,AFG,2020-02-03,-0.003694554,0.057197819,-0.072336401
Afghanistan,AFG,2020-02-10,-0.000798054,0.061924281,-0.07671584
Afghanistan,AFG,2020-02-17,0.000582213,0.076349994,-0.08403473
Afghanistan,AFG,2020-02-24,-0.037469068,0.070626945,-0.203656733
Afghanistan,AFG,2020-03-02,-0.079566333,0.057347021,-0.266352671
Afghanistan,AFG,2020-03-09,-0.025777867,0.145722515,-0.222348725
Afghanistan,AFG,2020-03-16,0.129734969,0.265268532,-0.14577141
Afghanistan,AFG,2020-03-23,-0.057640372,0.156500489,-0.147641079
Afghanistan,AFG,2020-03-30,-0.058921799,0.161676534,-0.17055518
Afghanistan,AFG,2020-04-06,0.019405552,0.186293071,-0.158919911
Afghanistan,AFG,2020-04-13,-0.015666186,0.212325927,-0.158344823
Afghanistan,AFG,2020-04-20,-0.028233249,0.150017727,-0.207894816
Afghanistan,AFG,2020-04-27,-0.013848799,0.203197136,-0.185276592
Afghanistan,AFG,2020-05-04,0.053064738,0.243549911,-0.062035808
Afghanistan,AFG,2020-05-11,0.106368771,0.29820931,-0.07852556
Afghanistan,AFG,2020-05-18,0.127134814,0.356918537,0.004467644
Afghanistan,AFG,2020-05-25,0.109974672,0.344644334,-0.02550274
Afghanistan,AFG,2020-06-01,0.192034221,0.419610374,0.003785926
Afghanistan,AFG,2020-06-08,0.265537086,0.55613469,0.050741709
Afghanistan,AFG,2020-06-15,0.311725943,0.583560033,0.070731663
Afghanistan,AFG,2020-06-22,0.353466482,0.637097865,0.090126163
Afghanistan,AFG,2020-06-29,0.34764255,0.531600697,0.113445257
Afghanistan,AFG,2020-07-06,0.3708891,0.566585589,0.158698294
Afghanistan,AFG,2020-07-13,0.313078194,0.530953489,0.139801314
Afghanistan,AFG,2020-07-20,0.319295667,0.56074294,0.143468801
Afghanistan,AFG,2020-07-27,0.244310464,0.491107905,0.114764746
Afghanistan,AFG,2020-08-03,0.171354293,0.365933919,0.113750837
Afghanistan,AFG,2020-08-10,0.20496111,0.410498015,0.099541974
Afghanistan,AFG,2020-08-17,0.182574767,0.412737705,0.065149626
Afghanistan,AFG,2020-08-24,0.212718678,0.340141558,0.044133975
Afghanistan,AFG,2020-08-31,0.154064631,0.250337265,-0.010904891
Afghanistan,AFG,2020-09-07,0.18778659,0.265733681,0.027326941
Afghanistan,AFG,2020-09-14,0.186434169,0.25740131,0.01909655
Afghanistan,AFG,2020-09-21,0.180789829,0.290715942,0.044540243
Afghanistan,AFG,2020-09-28,0.188046197,0.279379695,0.045214849
Afghanistan,AFG,2020-10-05,0.188853586,0.308611183,0.068073148
Afghanistan,AFG,2020-10-12,0.19112708,0.35571116,0.058752545
Afghanistan,AFG,2020-10-19,0.18910649,0.351677932,0.031771697
Afghanistan,AFG,2020-10-26,0.190464842,0.372813435,0.057907522
Afghanistan,AFG,2020-11-02,0.188353705,0.38773505,0.052873604
Afghanistan,AFG,2020-11-09,0.19660658,0.382106909,0.042131702
Afghanistan,AFG,2020-11-16,0.226790437,0.455860151,0.060445001
Afghanistan,AFG,2020-11-23,0.236027805,0.458463078,0.063962209
Afghanistan,AFG,2020-11-30,0.237989531,0.461390962,0.083497032
Afghanistan,AFG,2020-12-07,0.262141469,0.464915768,0.096725172
Afghanistan,AFG,2020-12-14,0.225037226,0.402003902,0.041769376
Afghanistan,AFG,2020-12-21,0.209537726,0.346724177,0.05247877
Afghanistan,AFG,2020-12-28,0.305092673,0.535490225,0.038486068
Afghanistan,AFG,2021-01-04,0.159396742,0.443141731,0.002831464
Afghanistan,AFG,2021-01-11,0.178997047,0.475641495,0.000311382
Afghanistan,AFG,2021-01-18,0.141736693,0.443855106,-0.055543579
Afghanistan,AFG,2021-01-25,0.140072488,0.442566613,-0.00695037
Afghanistan,AFG,2021-02-01,0.139269876,0.433373664,-0.047534804
Afghanistan,AFG,2021-02-08,0.153867954,0.328251779,-0.036335653
Afghanistan,AFG,2021-02-15,0.121711765,0.405584902,-0.031853541
Afghanistan,AFG,2021-02-22,0.107742997,0.380354805,-0.043099301
Afghanistan,AFG,2021-03-01,0.139360547,0.274985912,-0.064125344
Afghanistan,AFG,2021-03-08,0.119869792,0.317836469,-0.049238694
Afghanistan,AFG,2021-03-15,0.275590301,0.461194984,0.000878771
Afghanistan,AFG,2021-03-22,0.196974181,0.335119559,-0.034941947
Afghanistan,AFG,2021-03-29,0.333611953,0.547081287,0.075557971
Afghanistan,AFG,2021-04-05,0.340620755,0.634985467,0.063498701
Afghanistan,AFG,2021-04-12,0.347573883,0.575746225,0.050139172
Afghanistan,AFG,2021-04-19,0.332574391,0.612454191,0.033009472
Afghanistan,AFG,2021-04-26,0.6672493,1.262180764,0.096017725
Afghanistan,AFG,2021-05-03,0.744195772,1.271470507,0.095771719
Afghanistan,AFG,2021-05-10,0.844399758,1.366292703,0.126810595
Afghanistan,AFG,2021-05-17,1.085135565,1.452363054,0.111105884
Afghanistan,AFG,2021-05-24,1.123467059,1.630285882,0.16326655
Afghanistan,AFG,2021-05-31,0.670313849,1.726327383,0.176729125
Afghanistan,AFG,2021-06-07,0.727336276,1.965115249,0.26650639
Afghanistan,AFG,2021-06-14,0.875697168,1.902186292,0.330023755
Afghanistan,AFG,2021-06-21,0.881218061,2.081861645,0.351351435
Afghanistan,AFG,2021-06-28,0.788559864,1.739700149,0.35845947
Afghanistan,AFG,2021-07-05,0.720250601,1.815618016,0.339920805
Afghanistan,AFG,2021-07-12,0.775891859,1.980082213,0.349096528
Afghanistan,AFG,2021-07-19,0.60528462,1.648141708,0.251535712
Afghanistan,AFG,2021-07-26,0.596125425,1.507387632,0.274105459
Afghanistan,AFG,2021-08-02,0.699899943,1.667676394,0.259755879
Afghanistan,AFG,2021-08-09,0.541698735,1.066800954,0.204540584
Afghanistan,AFG,2021-08-16,0.509391665,0.958999075,0.161453697
Afghanistan,AFG,2021-08-23,0.502339025,1.042172898,0.152124768
Afghanistan,AFG,2021-08-30,0.4431949,1.030182938,0.15079936
Afghanistan,AFG,2021-09-06,0.41572287,1.008202533,0.126732255
Afghanistan,AFG,2021-09-13,0.400295754,0.955544495,0.131191924
Afghanistan,AFG,2021-09-20,0.373086449,0.900330746,0.103499566
